time_s,gnss_2d,gnss_3d,fusion_2d,fusion_3d
1.179999995231628418e+01,1.246245378766406908e+01,4.187594995430771405e+01,1.115824166322396849e+01,1.498959491060761806e+01
1.189999985694885254e+01,1.238098068517673411e+01,4.185523574422479953e+01,1.099159968888391781e+01,1.501638176704100047e+01
1.200000000000000000e+01,1.248895074487962198e+01,4.182102755466719657e+01,1.091922042124029524e+01,1.409953549875719681e+01
1.209999990463256836e+01,1.242888702317785565e+01,4.187388831757933616e+01,1.086993007354138818e+01,1.367618848318499580e+01
1.219999980926513672e+01,4.777903198104227478e+00,2.711397945313818880e+01,7.388875684580708203e+00,7.625530086736701740e+00
1.229999995231628418e+01,4.746570458325320097e+00,2.709509408585471135e+01,7.455802478914857367e+00,7.986485719503671810e+00
1.239999985694885254e+01,4.711821451961746732e+00,2.718551645887024293e+01,8.302083159692925207e+00,8.359668597342658103e+00
1.250000000000000000e+01,4.727537595309048157e+00,2.719604443617552647e+01,7.375213942417678581e+00,7.835932492692777807e+00
1.259999990463256836e+01,4.768681440144803219e+00,2.735177463903700712e+01,7.395242156869672456e+00,8.283971156637210953e+00
1.269999980926513672e+01,4.839959957875301200e+00,2.745204122651846390e+01,7.267859506595423014e+00,7.784587736607978314e+00
1.279999995231628418e+01,4.922674360010361738e+00,2.764572757802891090e+01,6.906445770483993662e+00,7.427849716396242918e+00
1.289999985694885254e+01,1.190356841137541366e+01,4.164472673579178519e+01,1.085141220912706750e+01,1.366078540220091675e+01
1.300000000000000000e+01,1.187665912343724628e+01,4.166374065036619356e+01,1.058259546303735732e+01,1.286831666054742485e+01
1.309999990463256836e+01,1.175381285715704749e+01,4.165207731798346202e+01,9.985111308691914545e+00,1.231473184911895125e+01
1.319999980926513672e+01,1.169477685922321619e+01,4.163320060999272698e+01,9.487795042404727042e+00,1.153428720933325913e+01
1.329999995231628418e+01,1.155969088433257852e+01,4.164623485723637231e+01,9.150329940344853696e+00,1.106009599539216559e+01
1.339999985694885254e+01,1.148945161449847241e+01,4.156573775538478088e+01,9.283498820839811927e+00,1.086251324331427526e+01
1.350000000000000000e+01,1.139924410917219966e+01,4.156023296760493935e+01,9.473732566398266997e+00,1.137362743355331673e+01
1.359999990463256836e+01,1.136110882857948923e+01,4.156285404585837284e+01,9.090919411784620152e+00,1.103933345495989471e+01
1.369999980926513672e+01,1.123783594629077420e+01,4.151981096935475790e+01,9.031673360173535059e+00,1.119776658854589968e+01
1.379999995231628418e+01,1.119465213146458282e+01,4.141987849691573587e+01,8.958084845817079866e+00,1.118310171279520304e+01
1.389999985694885254e+01,1.112191903500174561e+01,4.137699726420304813e+01,8.888905364659803965e+00,1.049206652400513029e+01
1.400000000000000000e+01,1.101787453153050933e+01,4.135658207393446872e+01,8.304958476833308012e+00,8.827951600857650405e+00
1.409999990463256836e+01,1.098224440412829850e+01,4.130619418156059908e+01,8.737051712210377019e+00,9.430095347983215248e+00
